SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  --resume: restored resnet50 at epoch 77/300 (global_step=42966).
  [ep 86 step 48100] loss=1.0545 feat_std=0.0132 lr=0.00016 m=0.99676
  [ep 86 step 48150] loss=0.8575 feat_std=0.0130 lr=0.00016 m=0.99676
  [ep 86 step 48200] loss=1.1609 feat_std=0.0129 lr=0.00016 m=0.99676
  [ep 86 step 48250] loss=0.9423 feat_std=0.0130 lr=0.00016 m=0.99677
  [ep 86 step 48300] loss=0.8115 feat_std=0.0132 lr=0.00016 m=0.99677
  [ep 86 step 48350] loss=0.9300 feat_std=0.0131 lr=0.00016 m=0.99677
  [ep 86 step 48400] loss=0.8669 feat_std=0.0130 lr=0.00016 m=0.99677
  [ep 86 step 48450] loss=0.9322 feat_std=0.0129 lr=0.00016 m=0.99677
  [ep 86 step 48500] loss=1.0570 feat_std=0.0128 lr=0.00016 m=0.99677
  [ep 87 step 48550] loss=1.0838 feat_std=0.0127 lr=0.00016 m=0.99677
  [ep 87 step 48600] loss=1.0078 feat_std=0.0129 lr=0.00016 m=0.99678
  [ep 87 step 48650] loss=0.9693 feat_std=0.0128 lr=0.00016 m=0.99678
  [ep 87 step 48700] loss=0.9678 feat_std=0.0130 lr=0.00016 m=0.99678
  [ep 87 step 48750] loss=0.8998 feat_std=0.0129 lr=0.00016 m=0.99678
  [ep 87 step 48800] loss=0.8321 feat_std=0.0131 lr=0.00016 m=0.99678
  [ep 87 step 48850] loss=0.9290 feat_std=0.0128 lr=0.00016 m=0.99678
  [ep 87 step 48900] loss=1.0866 feat_std=0.0129 lr=0.00016 m=0.99678
  [ep 87 step 48950] loss=0.9891 feat_std=0.0129 lr=0.00016 m=0.99679
  [ep 87 step 49000] loss=1.0024 feat_std=0.0129 lr=0.00016 m=0.99679
  [ep 87 step 49050] loss=0.9535 feat_std=0.0128 lr=0.00016 m=0.99679
  [ep 87 step 49100] loss=0.8906 feat_std=0.0130 lr=0.00016 m=0.99679
  [ep 88 step 49150] loss=0.9521 feat_std=0.0129 lr=0.00016 m=0.99679
  [ep 88 step 49200] loss=0.8876 feat_std=0.0129 lr=0.00016 m=0.99679
  [ep 88 step 49250] loss=0.9552 feat_std=0.0128 lr=0.00016 m=0.99680
  [ep 88 step 49300] loss=0.8750 feat_std=0.0128 lr=0.00016 m=0.99680
  [ep 88 step 49350] loss=1.0006 feat_std=0.0128 lr=0.00016 m=0.99680
  [ep 88 step 49400] loss=0.8894 feat_std=0.0129 lr=0.00016 m=0.99680
  [ep 88 step 49450] loss=1.0283 feat_std=0.0130 lr=0.00016 m=0.99680
  [ep 88 step 49500] loss=1.0070 feat_std=0.0127 lr=0.00016 m=0.99680
  [ep 88 step 49550] loss=0.8963 feat_std=0.0128 lr=0.00016 m=0.99680
  [ep 88 step 49600] loss=0.9059 feat_std=0.0131 lr=0.00016 m=0.99681
  [ep 88 step 49650] loss=1.0059 feat_std=0.0130 lr=0.00016 m=0.99681
  [ep 89 step 49700] loss=0.9452 feat_std=0.0130 lr=0.00016 m=0.99681
  [ep 89 step 49750] loss=0.9560 feat_std=0.0129 lr=0.00016 m=0.99681
  [ep 89 step 49800] loss=1.0105 feat_std=0.0128 lr=0.00016 m=0.99681
  [ep 89 step 49850] loss=0.9061 feat_std=0.0130 lr=0.00015 m=0.99681
  [ep 89 step 49900] loss=0.8965 feat_std=0.0128 lr=0.00015 m=0.99681
  [ep 89 step 49950] loss=0.9022 feat_std=0.0129 lr=0.00015 m=0.99682
  [ep 89 step 50000] loss=1.0806 feat_std=0.0131 lr=0.00015 m=0.99682
  [ep 89 step 50050] loss=0.9966 feat_std=0.0128 lr=0.00015 m=0.99682
  [ep 89 step 50100] loss=0.8809 feat_std=0.0130 lr=0.00015 m=0.99682
