SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 9 step 5050] loss=3.1820 feat_std=0.0116 lr=0.00017 m=0.99601
  [ep 9 step 5100] loss=3.4706 feat_std=0.0112 lr=0.00017 m=0.99601
  [ep 9 step 5150] loss=3.4221 feat_std=0.0111 lr=0.00017 m=0.99601
  [ep 9 step 5200] loss=3.2325 feat_std=0.0116 lr=0.00017 m=0.99601
  [ep 9 step 5250] loss=3.1328 feat_std=0.0116 lr=0.00018 m=0.99601
  [ep 9 step 5300] loss=3.2108 feat_std=0.0114 lr=0.00018 m=0.99601
  [ep 9 step 5350] loss=3.1494 feat_std=0.0114 lr=0.00018 m=0.99601
  [ep 9 step 5400] loss=3.0706 feat_std=0.0116 lr=0.00018 m=0.99601
  [ep 9 step 5450] loss=3.0653 feat_std=0.0116 lr=0.00018 m=0.99601
  [ep 9 step 5500] loss=3.1489 feat_std=0.0113 lr=0.00018 m=0.99601
  [ep 9 step 5550] loss=3.2370 feat_std=0.0114 lr=0.00019 m=0.99601
  [ep 10 step 5600] loss=2.8943 feat_std=0.0117 lr=0.00019 m=0.99601
  [ep 10 step 5650] loss=3.0446 feat_std=0.0116 lr=0.00019 m=0.99601
  [ep 10 step 5700] loss=3.1760 feat_std=0.0113 lr=0.00019 m=0.99601
  [ep 10 step 5750] loss=3.0868 feat_std=0.0111 lr=0.00019 m=0.99601
  [ep 10 step 5800] loss=3.0589 feat_std=0.0113 lr=0.00019 m=0.99601
  [ep 10 step 5850] loss=2.9727 feat_std=0.0115 lr=0.00019 m=0.99601
  [ep 10 step 5900] loss=2.9632 feat_std=0.0116 lr=0.00019 m=0.99601
  [ep 10 step 5950] loss=3.0816 feat_std=0.0114 lr=0.00019 m=0.99601
  [ep 10 step 6000] loss=2.9138 feat_std=0.0115 lr=0.00019 m=0.99601
  [ep 10 step 6050] loss=3.0535 feat_std=0.0114 lr=0.00019 m=0.99601
  [ep 10 step 6100] loss=2.7654 feat_std=0.0116 lr=0.00019 m=0.99601
  [ep 11 step 6150] loss=2.8928 feat_std=0.0117 lr=0.00019 m=0.99601
  [ep 11 step 6200] loss=2.7976 feat_std=0.0118 lr=0.00019 m=0.99601
  [ep 11 step 6250] loss=2.7226 feat_std=0.0117 lr=0.00019 m=0.99601
  [ep 11 step 6300] loss=2.5887 feat_std=0.0118 lr=0.00019 m=0.99601
  [ep 11 step 6350] loss=2.7905 feat_std=0.0115 lr=0.00019 m=0.99601
  [ep 11 step 6400] loss=2.8402 feat_std=0.0116 lr=0.00019 m=0.99601
  [ep 11 step 6450] loss=2.8157 feat_std=0.0114 lr=0.00019 m=0.99601
  [ep 11 step 6500] loss=2.9035 feat_std=0.0117 lr=0.00019 m=0.99601
  [ep 11 step 6550] loss=2.6722 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 11 step 6600] loss=2.6191 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 11 step 6650] loss=2.6496 feat_std=0.0119 lr=0.00019 m=0.99602
  [ep 12 step 6700] loss=2.4408 feat_std=0.0117 lr=0.00019 m=0.99602
  [ep 12 step 6750] loss=2.6573 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 12 step 6800] loss=2.7775 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 12 step 6850] loss=2.5446 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 12 step 6900] loss=2.3581 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 12 step 6950] loss=2.7954 feat_std=0.0115 lr=0.00019 m=0.99602
  [ep 12 step 7000] loss=2.8491 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 12 step 7050] loss=2.5533 feat_std=0.0117 lr=0.00019 m=0.99602
  [ep 12 step 7100] loss=2.6483 feat_std=0.0114 lr=0.00019 m=0.99602
  [ep 12 step 7150] loss=2.3780 feat_std=0.0117 lr=0.00019 m=0.99602
  [ep 12 step 7200] loss=2.4420 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 12 step 7250] loss=2.5691 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 13 step 7300] loss=2.4557 feat_std=0.0115 lr=0.00019 m=0.99602
  [ep 13 step 7350] loss=2.5265 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 13 step 7400] loss=2.3609 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 13 step 7450] loss=2.4764 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 13 step 7500] loss=2.4051 feat_std=0.0120 lr=0.00019 m=0.99602
  [ep 13 step 7550] loss=2.4460 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 13 step 7600] loss=2.5521 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 13 step 7650] loss=2.3183 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 13 step 7700] loss=2.4546 feat_std=0.0113 lr=0.00019 m=0.99602
  [ep 13 step 7750] loss=2.3954 feat_std=0.0117 lr=0.00019 m=0.99602
  [ep 13 step 7800] loss=2.5216 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 14 step 7850] loss=2.2875 feat_std=0.0119 lr=0.00019 m=0.99602
  [ep 14 step 7900] loss=2.3190 feat_std=0.0115 lr=0.00019 m=0.99602
  [ep 14 step 7950] loss=2.3828 feat_std=0.0115 lr=0.00019 m=0.99602
  [ep 14 step 8000] loss=2.4315 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 14 step 8050] loss=2.2746 feat_std=0.0121 lr=0.00019 m=0.99602
  [ep 14 step 8100] loss=2.3036 feat_std=0.0117 lr=0.00019 m=0.99602
  [ep 14 step 8150] loss=2.2208 feat_std=0.0120 lr=0.00019 m=0.99602
  [ep 14 step 8200] loss=2.3116 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 14 step 8250] loss=2.2837 feat_std=0.0114 lr=0.00019 m=0.99602
  [ep 14 step 8300] loss=2.1816 feat_std=0.0116 lr=0.00019 m=0.99602
  [ep 14 step 8350] loss=2.2408 feat_std=0.0118 lr=0.00019 m=0.99602
  [ep 15 step 8400] loss=2.0325 feat_std=0.0120 lr=0.00019 m=0.99602
  [ep 15 step 8450] loss=2.2508 feat_std=0.0115 lr=0.00019 m=0.99603
  [ep 15 step 8500] loss=2.1975 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 15 step 8550] loss=2.2654 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 15 step 8600] loss=2.2953 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 15 step 8650] loss=2.2404 feat_std=0.0118 lr=0.00019 m=0.99603
  [ep 15 step 8700] loss=1.9672 feat_std=0.0121 lr=0.00019 m=0.99603
  [ep 15 step 8750] loss=2.0797 feat_std=0.0118 lr=0.00019 m=0.99603
  [ep 15 step 8800] loss=2.2235 feat_std=0.0118 lr=0.00019 m=0.99603
  [ep 15 step 8850] loss=2.1452 feat_std=0.0121 lr=0.00019 m=0.99603
  [ep 15 step 8900] loss=2.1102 feat_std=0.0119 lr=0.00019 m=0.99603
  [ep 16 step 8950] loss=2.1799 feat_std=0.0119 lr=0.00019 m=0.99603
  [ep 16 step 9000] loss=2.1131 feat_std=0.0119 lr=0.00019 m=0.99603
  [ep 16 step 9050] loss=2.2255 feat_std=0.0118 lr=0.00019 m=0.99603
  [ep 16 step 9100] loss=2.1784 feat_std=0.0116 lr=0.00019 m=0.99603
  [ep 16 step 9150] loss=2.1527 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 16 step 9200] loss=2.1063 feat_std=0.0119 lr=0.00019 m=0.99603
  [ep 16 step 9250] loss=1.9964 feat_std=0.0121 lr=0.00019 m=0.99603
  [ep 16 step 9300] loss=2.2569 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 16 step 9350] loss=2.1634 feat_std=0.0117 lr=0.00019 m=0.99603
  [ep 16 step 9400] loss=1.9836 feat_std=0.0121 lr=0.00019 m=0.99603
  [ep 16 step 9450] loss=2.1549 feat_std=0.0119 lr=0.00019 m=0.99603
