SSL pretraining | backbone=resnet50 | method=byol | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_retrain_v1_2.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 12 step 7100] loss=0.1794 feat_std=0.0080 lr=0.07498 m=0.99602
  [ep 12 step 7150] loss=0.2049 feat_std=0.0080 lr=0.07498 m=0.99602
  [ep 12 step 7200] loss=0.2388 feat_std=0.0079 lr=0.07498 m=0.99602
  [ep 12 step 7250] loss=0.1604 feat_std=0.0076 lr=0.07498 m=0.99602
  [ep 13 step 7300] loss=0.1790 feat_std=0.0080 lr=0.07498 m=0.99602
  [ep 13 step 7350] loss=0.2099 feat_std=0.0079 lr=0.07498 m=0.99602
  [ep 13 step 7400] loss=0.1386 feat_std=0.0080 lr=0.07498 m=0.99602
  [ep 13 step 7450] loss=0.1978 feat_std=0.0079 lr=0.07498 m=0.99602
  [ep 13 step 7500] loss=0.1939 feat_std=0.0078 lr=0.07497 m=0.99602
  [ep 13 step 7550] loss=0.1669 feat_std=0.0078 lr=0.07497 m=0.99602
  [ep 13 step 7600] loss=0.1945 feat_std=0.0077 lr=0.07497 m=0.99602
  [ep 13 step 7650] loss=0.1534 feat_std=0.0078 lr=0.07497 m=0.99602
  [ep 13 step 7700] loss=0.1765 feat_std=0.0077 lr=0.07497 m=0.99602
  [ep 13 step 7750] loss=0.1468 feat_std=0.0079 lr=0.07497 m=0.99602
  [ep 13 step 7800] loss=0.1417 feat_std=0.0078 lr=0.07497 m=0.99602
  [ep 14 step 7850] loss=0.1629 feat_std=0.0079 lr=0.07496 m=0.99602
  [ep 14 step 7900] loss=0.1425 feat_std=0.0079 lr=0.07496 m=0.99602
  [ep 14 step 7950] loss=0.1610 feat_std=0.0076 lr=0.07496 m=0.99602
  [ep 14 step 8000] loss=0.1384 feat_std=0.0079 lr=0.07496 m=0.99602
  [ep 14 step 8050] loss=0.1553 feat_std=0.0075 lr=0.07496 m=0.99602
  [ep 14 step 8100] loss=0.1660 feat_std=0.0076 lr=0.07496 m=0.99602
  [ep 14 step 8150] loss=0.1408 feat_std=0.0080 lr=0.07495 m=0.99602
  [ep 14 step 8200] loss=0.1438 feat_std=0.0078 lr=0.07495 m=0.99602
  [ep 14 step 8250] loss=0.1763 feat_std=0.0079 lr=0.07495 m=0.99602
  [ep 14 step 8300] loss=0.1404 feat_std=0.0079 lr=0.07495 m=0.99602
  [ep 14 step 8350] loss=0.1376 feat_std=0.0077 lr=0.07495 m=0.99602
  [ep 15 step 8400] loss=0.1342 feat_std=0.0078 lr=0.07494 m=0.99602
  [ep 15 step 8450] loss=0.1286 feat_std=0.0079 lr=0.07494 m=0.99603
  [ep 15 step 8500] loss=0.1357 feat_std=0.0076 lr=0.07494 m=0.99603
  [ep 15 step 8550] loss=0.2356 feat_std=0.0074 lr=0.07494 m=0.99603
  [ep 15 step 8600] loss=0.1694 feat_std=0.0077 lr=0.07494 m=0.99603
  [ep 15 step 8650] loss=0.1107 feat_std=0.0079 lr=0.07493 m=0.99603
  [ep 15 step 8700] loss=0.1442 feat_std=0.0078 lr=0.07493 m=0.99603
  [ep 15 step 8750] loss=0.1593 feat_std=0.0077 lr=0.07493 m=0.99603
  [ep 15 step 8800] loss=0.1419 feat_std=0.0077 lr=0.07493 m=0.99603
  [ep 15 step 8850] loss=0.1347 feat_std=0.0076 lr=0.07492 m=0.99603
  [ep 15 step 8900] loss=0.1393 feat_std=0.0076 lr=0.07492 m=0.99603
  [ep 16 step 8950] loss=0.1745 feat_std=0.0072 lr=0.07492 m=0.99603
  [ep 16 step 9000] loss=0.1804 feat_std=0.0074 lr=0.07492 m=0.99603
  [ep 16 step 9050] loss=0.1451 feat_std=0.0075 lr=0.07491 m=0.99603
  [ep 16 step 9100] loss=0.1374 feat_std=0.0076 lr=0.07491 m=0.99603
  [ep 16 step 9150] loss=0.1460 feat_std=0.0075 lr=0.07491 m=0.99603
  [ep 16 step 9200] loss=0.1306 feat_std=0.0076 lr=0.07491 m=0.99603
  [ep 16 step 9250] loss=0.1517 feat_std=0.0077 lr=0.07490 m=0.99603
  [ep 16 step 9300] loss=0.1192 feat_std=0.0078 lr=0.07490 m=0.99603
  [ep 16 step 9350] loss=0.1153 feat_std=0.0076 lr=0.07490 m=0.99603
  [ep 16 step 9400] loss=0.1292 feat_std=0.0074 lr=0.07490 m=0.99603
  [ep 16 step 9450] loss=0.1349 feat_std=0.0077 lr=0.07489 m=0.99603
  [ep 17 step 9500] loss=0.1278 feat_std=0.0078 lr=0.07489 m=0.99603
  [ep 17 step 9550] loss=0.1786 feat_std=0.0075 lr=0.07489 m=0.99603
  [ep 17 step 9600] loss=0.1172 feat_std=0.0075 lr=0.07489 m=0.99603
  [ep 17 step 9650] loss=0.1385 feat_std=0.0075 lr=0.07488 m=0.99603
  [ep 17 step 9700] loss=0.1236 feat_std=0.0075 lr=0.07488 m=0.99603
  [ep 17 step 9750] loss=0.1467 feat_std=0.0076 lr=0.07488 m=0.99603
  [ep 17 step 9800] loss=0.1160 feat_std=0.0078 lr=0.07487 m=0.99603
  [ep 17 step 9850] loss=0.1236 feat_std=0.0075 lr=0.07487 m=0.99603
  [ep 17 step 9900] loss=0.1225 feat_std=0.0075 lr=0.07487 m=0.99603
  [ep 17 step 9950] loss=0.1152 feat_std=0.0076 lr=0.07487 m=0.99603
  [ep 17 step 10000] loss=0.1533 feat_std=0.0073 lr=0.07486 m=0.99604
  [ep 18 step 10050] loss=0.1207 feat_std=0.0077 lr=0.07486 m=0.99604
  [ep 18 step 10100] loss=0.1200 feat_std=0.0077 lr=0.07486 m=0.99604
  [ep 18 step 10150] loss=0.1279 feat_std=0.0075 lr=0.07485 m=0.99604
  [ep 18 step 10200] loss=0.1262 feat_std=0.0075 lr=0.07485 m=0.99604
  [ep 18 step 10250] loss=0.1775 feat_std=0.0075 lr=0.07485 m=0.99604
  [ep 18 step 10300] loss=0.1093 feat_std=0.0076 lr=0.07484 m=0.99604
  [ep 18 step 10350] loss=0.1201 feat_std=0.0075 lr=0.07484 m=0.99604
  [ep 18 step 10400] loss=0.1213 feat_std=0.0075 lr=0.07484 m=0.99604
  [ep 18 step 10450] loss=0.1142 feat_std=0.0074 lr=0.07483 m=0.99604
  [ep 18 step 10500] loss=0.1269 feat_std=0.0075 lr=0.07483 m=0.99604
  [ep 18 step 10550] loss=0.1173 feat_std=0.0072 lr=0.07483 m=0.99604
  [ep 18 step 10600] loss=0.1331 feat_std=0.0075 lr=0.07482 m=0.99604
  [ep 19 step 10650] loss=0.1333 feat_std=0.0075 lr=0.07482 m=0.99604
  [ep 19 step 10700] loss=0.1324 feat_std=0.0075 lr=0.07481 m=0.99604
  [ep 19 step 10750] loss=0.1574 feat_std=0.0074 lr=0.07481 m=0.99604
  [ep 19 step 10800] loss=0.1009 feat_std=0.0073 lr=0.07481 m=0.99604
  [ep 19 step 10850] loss=0.1179 feat_std=0.0074 lr=0.07480 m=0.99604
  [ep 19 step 10900] loss=0.1419 feat_std=0.0073 lr=0.07480 m=0.99604
  [ep 19 step 10950] loss=0.1197 feat_std=0.0075 lr=0.07480 m=0.99604
  [ep 19 step 11000] loss=0.1290 feat_std=0.0073 lr=0.07479 m=0.99604
  [ep 19 step 11050] loss=0.1374 feat_std=0.0074 lr=0.07479 m=0.99604
  [ep 19 step 11100] loss=0.1085 feat_std=0.0075 lr=0.07478 m=0.99604
  [ep 19 step 11150] loss=0.1110 feat_std=0.0073 lr=0.07478 m=0.99604
  [ep 20 step 11200] loss=0.1192 feat_std=0.0074 lr=0.07478 m=0.99604
  [ep 20 step 11250] loss=0.1179 feat_std=0.0074 lr=0.07477 m=0.99604
  [ep 20 step 11300] loss=0.1121 feat_std=0.0075 lr=0.07477 m=0.99604
  [ep 20 step 11350] loss=0.1091 feat_std=0.0072 lr=0.07476 m=0.99605
  [ep 20 step 11400] loss=0.1247 feat_std=0.0074 lr=0.07476 m=0.99605
  [ep 20 step 11450] loss=0.1185 feat_std=0.0072 lr=0.07476 m=0.99605
  [ep 20 step 11500] loss=0.1138 feat_std=0.0074 lr=0.07475 m=0.99605
  [ep 20 step 11550] loss=0.1215 feat_std=0.0071 lr=0.07475 m=0.99605
  [ep 20 step 11600] loss=0.1276 feat_std=0.0073 lr=0.07474 m=0.99605
  [ep 20 step 11650] loss=0.1159 feat_std=0.0074 lr=0.07474 m=0.99605
  [ep 20 step 11700] loss=0.1354 feat_std=0.0074 lr=0.07474 m=0.99605
  [ep 21 step 11750] loss=0.1179 feat_std=0.0074 lr=0.07473 m=0.99605
  [ep 21 step 11800] loss=0.1171 feat_std=0.0074 lr=0.07473 m=0.99605
  [ep 21 step 11850] loss=0.1273 feat_std=0.0071 lr=0.07472 m=0.99605
  [ep 21 step 11900] loss=0.1083 feat_std=0.0074 lr=0.07472 m=0.99605
  [ep 21 step 11950] loss=0.1139 feat_std=0.0073 lr=0.07471 m=0.99605
  [ep 21 step 12000] loss=0.1166 feat_std=0.0073 lr=0.07471 m=0.99605
  [ep 21 step 12050] loss=0.1130 feat_std=0.0074 lr=0.07470 m=0.99605
  [ep 21 step 12100] loss=0.1050 feat_std=0.0075 lr=0.07470 m=0.99605
  [ep 21 step 12150] loss=0.1268 feat_std=0.0073 lr=0.07470 m=0.99605
  [ep 21 step 12200] loss=0.1423 feat_std=0.0073 lr=0.07469 m=0.99605
  [ep 21 step 12250] loss=0.1185 feat_std=0.0073 lr=0.07469 m=0.99605
  [ep 22 step 12300] loss=0.1045 feat_std=0.0073 lr=0.07468 m=0.99605
  [ep 22 step 12350] loss=0.1063 feat_std=0.0073 lr=0.07468 m=0.99605
  [ep 22 step 12400] loss=0.1159 feat_std=0.0073 lr=0.07467 m=0.99605
  [ep 22 step 12450] loss=0.1106 feat_std=0.0072 lr=0.07467 m=0.99605
  [ep 22 step 12500] loss=0.1049 feat_std=0.0074 lr=0.07466 m=0.99605
  [ep 22 step 12550] loss=0.1061 feat_std=0.0075 lr=0.07466 m=0.99606
  [ep 22 step 12600] loss=0.1108 feat_std=0.0073 lr=0.07465 m=0.99606
  [ep 22 step 12650] loss=0.1337 feat_std=0.0072 lr=0.07465 m=0.99606
  [ep 22 step 12700] loss=0.1244 feat_std=0.0073 lr=0.07464 m=0.99606
  [ep 22 step 12750] loss=0.1454 feat_std=0.0072 lr=0.07464 m=0.99606
  [ep 22 step 12800] loss=0.1051 feat_std=0.0073 lr=0.07463 m=0.99606
  [ep 23 step 12850] loss=0.0994 feat_std=0.0075 lr=0.07463 m=0.99606
  [ep 23 step 12900] loss=0.1118 feat_std=0.0073 lr=0.07462 m=0.99606
  [ep 23 step 12950] loss=0.1077 feat_std=0.0075 lr=0.07462 m=0.99606
  [ep 23 step 13000] loss=0.0983 feat_std=0.0072 lr=0.07461 m=0.99606
  [ep 23 step 13050] loss=0.1146 feat_std=0.0074 lr=0.07461 m=0.99606
  [ep 23 step 13100] loss=0.1287 feat_std=0.0072 lr=0.07460 m=0.99606
  [ep 23 step 13150] loss=0.1038 feat_std=0.0073 lr=0.07460 m=0.99606
  [ep 23 step 13200] loss=0.1491 feat_std=0.0074 lr=0.07459 m=0.99606
  [ep 23 step 13250] loss=0.1210 feat_std=0.0073 lr=0.07459 m=0.99606
  [ep 23 step 13300] loss=0.1169 feat_std=0.0072 lr=0.07458 m=0.99606
  [ep 23 step 13350] loss=0.1010 feat_std=0.0073 lr=0.07457 m=0.99606
  [ep 24 step 13400] loss=0.0947 feat_std=0.0073 lr=0.07457 m=0.99606
  [ep 24 step 13450] loss=0.1070 feat_std=0.0075 lr=0.07456 m=0.99606
  [ep 24 step 13500] loss=0.1147 feat_std=0.0073 lr=0.07456 m=0.99606
  [ep 24 step 13550] loss=0.1151 feat_std=0.0073 lr=0.07455 m=0.99606
  [ep 24 step 13600] loss=0.0979 feat_std=0.0073 lr=0.07455 m=0.99606
  [ep 24 step 13650] loss=0.1119 feat_std=0.0074 lr=0.07454 m=0.99607
