SSL pretraining | backbone=efficientnet_b3 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml', 'configs/ssl_continual_v4_0_eff.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=False | feature_dim=1536
  [ep 2 step 4500] loss=6.9022 feat_std=0.0218 lr=0.00034 m=0.99603
  [ep 2 step 4550] loss=6.7815 feat_std=0.0217 lr=0.00034 m=0.99603
  [ep 2 step 4600] loss=6.9281 feat_std=0.0216 lr=0.00034 m=0.99603
  [ep 2 step 4650] loss=6.8451 feat_std=0.0217 lr=0.00035 m=0.99603
  [ep 2 step 4700] loss=6.8266 feat_std=0.0218 lr=0.00035 m=0.99603
  [ep 2 step 4750] loss=6.7970 feat_std=0.0219 lr=0.00035 m=0.99603
  [ep 2 step 4800] loss=6.7747 feat_std=0.0215 lr=0.00036 m=0.99603
  [ep 2 step 4850] loss=6.7823 feat_std=0.0217 lr=0.00036 m=0.99603
  [ep 2 step 4900] loss=6.9326 feat_std=0.0216 lr=0.00037 m=0.99603
  [ep 2 step 4950] loss=6.8017 feat_std=0.0217 lr=0.00037 m=0.99603
  [ep 2 step 5000] loss=6.5818 feat_std=0.0217 lr=0.00037 m=0.99604
  [ep 3 step 5050] loss=6.7092 feat_std=0.0217 lr=0.00037 m=0.99604
  [ep 3 step 5100] loss=6.6718 feat_std=0.0217 lr=0.00037 m=0.99604
  [ep 3 step 5150] loss=6.7698 feat_std=0.0218 lr=0.00037 m=0.99604
  [ep 3 step 5200] loss=6.4394 feat_std=0.0221 lr=0.00037 m=0.99604
  [ep 3 step 5250] loss=6.5584 feat_std=0.0217 lr=0.00037 m=0.99604
  [ep 3 step 5300] loss=6.5504 feat_std=0.0216 lr=0.00037 m=0.99604
  [ep 3 step 5350] loss=6.6223 feat_std=0.0217 lr=0.00037 m=0.99604
  [ep 3 step 5400] loss=6.6071 feat_std=0.0216 lr=0.00037 m=0.99604
  [ep 3 step 5450] loss=6.4779 feat_std=0.0220 lr=0.00037 m=0.99604
  [ep 3 step 5500] loss=6.5116 feat_std=0.0216 lr=0.00037 m=0.99604
  [ep 3 step 5550] loss=6.6030 feat_std=0.0218 lr=0.00037 m=0.99604
  [ep 3 step 5600] loss=6.5846 feat_std=0.0218 lr=0.00037 m=0.99604
  [ep 3 step 5650] loss=6.5501 feat_std=0.0217 lr=0.00037 m=0.99604
  [ep 3 step 5700] loss=6.5363 feat_std=0.0220 lr=0.00037 m=0.99605
  [ep 3 step 5750] loss=6.3724 feat_std=0.0221 lr=0.00037 m=0.99605
  [ep 3 step 5800] loss=6.4431 feat_std=0.0218 lr=0.00037 m=0.99605
  [ep 3 step 5850] loss=6.5698 feat_std=0.0217 lr=0.00037 m=0.99605
  [ep 3 step 5900] loss=6.2940 feat_std=0.0216 lr=0.00037 m=0.99605
  [ep 3 step 5950] loss=6.3383 feat_std=0.0218 lr=0.00037 m=0.99605
  [ep 3 step 6000] loss=6.4993 feat_std=0.0216 lr=0.00037 m=0.99605
  [ep 3 step 6050] loss=6.5350 feat_std=0.0218 lr=0.00037 m=0.99605
  [ep 3 step 6100] loss=6.2827 feat_std=0.0217 lr=0.00037 m=0.99605
  [ep 3 step 6150] loss=6.3904 feat_std=0.0216 lr=0.00037 m=0.99605
  [ep 3 step 6200] loss=6.4297 feat_std=0.0218 lr=0.00037 m=0.99605
  [ep 3 step 6250] loss=6.3983 feat_std=0.0216 lr=0.00037 m=0.99605
  [ep 3 step 6300] loss=6.2862 feat_std=0.0217 lr=0.00037 m=0.99606
  [ep 3 step 6350] loss=6.3974 feat_std=0.0214 lr=0.00037 m=0.99606
  [ep 3 step 6400] loss=6.3144 feat_std=0.0217 lr=0.00037 m=0.99606
