SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 18 step 10200] loss=4.9206 feat_std=0.0146 lr=0.00086 m=0.99718
  [ep 18 step 10250] loss=4.8745 feat_std=0.0147 lr=0.00085 m=0.99719
  [ep 18 step 10300] loss=4.9210 feat_std=0.0146 lr=0.00085 m=0.99720
  [ep 18 step 10350] loss=4.9204 feat_std=0.0146 lr=0.00085 m=0.99721
  [ep 18 step 10400] loss=4.9094 feat_std=0.0145 lr=0.00084 m=0.99722
  [ep 18 step 10450] loss=4.8904 feat_std=0.0146 lr=0.00084 m=0.99723
  [ep 18 step 10500] loss=4.9038 feat_std=0.0146 lr=0.00084 m=0.99724
  [ep 18 step 10550] loss=4.9208 feat_std=0.0144 lr=0.00084 m=0.99725
  [ep 18 step 10600] loss=4.9254 feat_std=0.0146 lr=0.00083 m=0.99726
  [ep 19 step 10650] loss=4.9029 feat_std=0.0145 lr=0.00083 m=0.99727
  [ep 19 step 10700] loss=4.8496 feat_std=0.0147 lr=0.00083 m=0.99728
  [ep 19 step 10750] loss=4.8612 feat_std=0.0145 lr=0.00082 m=0.99729
  [ep 19 step 10800] loss=4.8644 feat_std=0.0147 lr=0.00082 m=0.99731
  [ep 19 step 10850] loss=4.8642 feat_std=0.0145 lr=0.00082 m=0.99732
  [ep 19 step 10900] loss=4.8741 feat_std=0.0146 lr=0.00082 m=0.99733
  [ep 19 step 10950] loss=4.8840 feat_std=0.0146 lr=0.00081 m=0.99734
  [ep 19 step 11000] loss=4.8933 feat_std=0.0146 lr=0.00081 m=0.99735
  [ep 19 step 11050] loss=4.8611 feat_std=0.0147 lr=0.00081 m=0.99736
  [ep 19 step 11100] loss=4.8277 feat_std=0.0144 lr=0.00080 m=0.99737
