SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_moco_v2_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 12 step 6700] loss=6.3926 feat_std=0.0073 lr=0.01125 m=0.99602
  [ep 12 step 6750] loss=6.3383 feat_std=0.0075 lr=0.01125 m=0.99602
  [ep 12 step 6800] loss=6.3157 feat_std=0.0077 lr=0.01125 m=0.99602
  [ep 12 step 6850] loss=6.2950 feat_std=0.0075 lr=0.01125 m=0.99602
  [ep 12 step 6900] loss=6.3871 feat_std=0.0072 lr=0.01125 m=0.99602
  [ep 12 step 6950] loss=6.3958 feat_std=0.0074 lr=0.01125 m=0.99602
  [ep 12 step 7000] loss=6.2607 feat_std=0.0077 lr=0.01125 m=0.99602
  [ep 12 step 7050] loss=6.3418 feat_std=0.0075 lr=0.01125 m=0.99602
  [ep 12 step 7100] loss=6.2913 feat_std=0.0076 lr=0.01125 m=0.99602
  [ep 12 step 7150] loss=6.3923 feat_std=0.0074 lr=0.01125 m=0.99602
  [ep 12 step 7200] loss=6.2369 feat_std=0.0076 lr=0.01125 m=0.99602
  [ep 12 step 7250] loss=6.1575 feat_std=0.0076 lr=0.01125 m=0.99602
  [ep 13 step 7300] loss=6.2269 feat_std=0.0075 lr=0.01125 m=0.99602
  [ep 13 step 7350] loss=6.2072 feat_std=0.0076 lr=0.01125 m=0.99602
  [ep 13 step 7400] loss=6.1299 feat_std=0.0078 lr=0.01125 m=0.99602
  [ep 13 step 7450] loss=6.1056 feat_std=0.0076 lr=0.01125 m=0.99602
  [ep 13 step 7500] loss=6.2009 feat_std=0.0079 lr=0.01125 m=0.99602
  [ep 13 step 7550] loss=6.1590 feat_std=0.0079 lr=0.01125 m=0.99602
  [ep 13 step 7600] loss=6.2175 feat_std=0.0076 lr=0.01125 m=0.99602
  [ep 13 step 7650] loss=6.0645 feat_std=0.0077 lr=0.01125 m=0.99602
  [ep 13 step 7700] loss=6.0689 feat_std=0.0079 lr=0.01125 m=0.99602
  [ep 13 step 7750] loss=6.1304 feat_std=0.0078 lr=0.01125 m=0.99602
  [ep 13 step 7800] loss=6.0213 feat_std=0.0079 lr=0.01124 m=0.99602
  [ep 14 step 7850] loss=6.0217 feat_std=0.0078 lr=0.01124 m=0.99602
  [ep 14 step 7900] loss=5.9825 feat_std=0.0078 lr=0.01124 m=0.99602
  [ep 14 step 7950] loss=6.0335 feat_std=0.0081 lr=0.01124 m=0.99602
  [ep 14 step 8000] loss=5.9469 feat_std=0.0081 lr=0.01124 m=0.99602
  [ep 14 step 8050] loss=6.0028 feat_std=0.0080 lr=0.01124 m=0.99602
  [ep 14 step 8100] loss=5.9191 feat_std=0.0078 lr=0.01124 m=0.99602
  [ep 14 step 8150] loss=5.8984 feat_std=0.0082 lr=0.01124 m=0.99602
  [ep 14 step 8200] loss=5.8747 feat_std=0.0079 lr=0.01124 m=0.99602
  [ep 14 step 8250] loss=5.9662 feat_std=0.0081 lr=0.01124 m=0.99602
  [ep 14 step 8300] loss=5.9543 feat_std=0.0079 lr=0.01124 m=0.99602
  [ep 14 step 8350] loss=5.9373 feat_std=0.0076 lr=0.01124 m=0.99602
  [ep 15 step 8400] loss=5.8745 feat_std=0.0081 lr=0.01124 m=0.99602
  [ep 15 step 8450] loss=5.8220 feat_std=0.0082 lr=0.01124 m=0.99603
  [ep 15 step 8500] loss=5.8457 feat_std=0.0083 lr=0.01124 m=0.99603
  [ep 15 step 8550] loss=5.8746 feat_std=0.0080 lr=0.01124 m=0.99603
  [ep 15 step 8600] loss=5.8297 feat_std=0.0080 lr=0.01124 m=0.99603
  [ep 15 step 8650] loss=5.8865 feat_std=0.0079 lr=0.01124 m=0.99603
  [ep 15 step 8700] loss=5.8407 feat_std=0.0078 lr=0.01124 m=0.99603
  [ep 15 step 8750] loss=5.8276 feat_std=0.0079 lr=0.01124 m=0.99603
  [ep 15 step 8800] loss=5.8652 feat_std=0.0078 lr=0.01124 m=0.99603
  [ep 15 step 8850] loss=5.7969 feat_std=0.0081 lr=0.01124 m=0.99603
  [ep 15 step 8900] loss=5.8022 feat_std=0.0081 lr=0.01124 m=0.99603
  [ep 16 step 8950] loss=5.8232 feat_std=0.0080 lr=0.01124 m=0.99603
  [ep 16 step 9000] loss=5.7519 feat_std=0.0085 lr=0.01124 m=0.99603
  [ep 16 step 9050] loss=5.7587 feat_std=0.0083 lr=0.01124 m=0.99603
  [ep 16 step 9100] loss=5.8035 feat_std=0.0084 lr=0.01124 m=0.99603
  [ep 16 step 9150] loss=5.7221 feat_std=0.0084 lr=0.01124 m=0.99603
  [ep 16 step 9200] loss=5.7072 feat_std=0.0085 lr=0.01124 m=0.99603
  [ep 16 step 9250] loss=5.6822 feat_std=0.0082 lr=0.01124 m=0.99603
  [ep 16 step 9300] loss=5.6650 feat_std=0.0082 lr=0.01124 m=0.99603
  [ep 16 step 9350] loss=5.7057 feat_std=0.0082 lr=0.01123 m=0.99603
